project_id,project_name,project_type,country,state,district,land_area,land_type,land_price_per_acre,number_of_owners,compensation_status,compensation_percentage,legal_disputes,land_possession_status,land_possession_percentage,rehabilitation_status,rehabilitation_percentage,risk_score,delay_probability,risk_category,latitude,longitude
LAP-0001,National Metro Rail Project 001,Metro Rail,India,Karnataka,Belagavi,241.31,Residential,2500000.00,422,In Progress,61.43,6,Partially Possessed,50.03,In Progress,62.51,77.81,0.75,High,15.652029,74.481910
LAP-0002,Regional Logistics Park Project 002,Logistics Park,India,Odisha,Sundargarh,229.84,Industrial,2500000.00,394,In Progress,60.02,4,Partially Possessed,77.37,In Progress,52.90,57.37,0.60,Medium,22.039456,83.895940
LAP-0003,Eastern Metro Rail Project 003,Metro Rail,India,Tamil Nadu,Tiruchirappalli,278.97,Residential,2500000.00,459,In Progress,52.32,4,Partially Possessed,68.89,Not Started,34.46,72.01,0.52,High,10.909090,78.581532
LAP-0004,Coastal Transmission Line Project 004,Transmission Line,India,Bihar,Muzaffarpur,108.92,Barren,2500000.00,193,In Progress,91.07,1,Partially Possessed,93.73,In Progress,77.25,18.18,0.23,Low,26.239638,85.312920
LAP-0005,Regional National Highway Project 005,National Highway,India,Telangana,Nalgonda,126.60,Agricultural,2500000.00,200,In Progress,35.87,12,Partially Possessed,44.69,In Progress,43.53,100.00,0.86,High,16.867050,79.245150
LAP-0006,Eastern Logistics Park Project 006,Logistics Park,India,Karnataka,Bengaluru Urban,66.93,Industrial,2500000.00,112,In Progress,51.38,2,Partially Possessed,44.40,In Progress,64.65,47.60,0.55,Medium,13.044789,77.638854
LAP-0007,Greenfield Logistics Park Project 007,Logistics Park,India,Telangana,Rangareddy,121.83,Industrial,2500000.00,205,In Progress,44.33,13,Not Possessed,23.59,In Progress,48.76,100.00,0.98,High,17.318598,78.592907
LAP-0008,Coastal Logistics Park Project 008,Logistics Park,India,Madhya Pradesh,Indore,166.02,Industrial,2500000.00,264,In Progress,94.68,2,Partially Possessed,86.48,In Progress,75.73,22.88,0.27,Low,22.635228,75.813351
LAP-0009,Deccan Metro Rail Project 009,Metro Rail,India,Odisha,Khordha,393.04,Residential,2500000.00,632,In Progress,54.98,4,Partially Possessed,55.72,In Progress,36.31,62.14,0.52,High,20.313779,85.641651
LAP-0010,Eastern Airport Expansion Project 010,Airport Expansion,India,Tamil Nadu,Chengalpattu,406.21,Commercial,2500000.00,711,In Progress,80.94,2,Possessed,96.28,In Progress,69.05,37.42,0.38,Medium,12.692600,79.932093
LAP-0011,Regional Metro Rail Project 011,Metro Rail,India,Rajasthan,Jaipur,90.08,Residential,2500000.00,127,In Progress,41.17,1,Partially Possessed,58.09,In Progress,66.22,56.45,0.65,Medium,26.806594,75.790378
LAP-0012,National Railway Corridor Project 012,Railway Corridor,India,Bihar,Muzaffarpur,34.99,Residential,2500000.00,60,In Progress,83.31,2,Partially Possessed,76.41,In Progress,81.81,44.57,0.46,Medium,26.026741,85.359145
LAP-0013,Eastern National Highway Project 013,National Highway,India,Maharashtra,Pune,57.10,Agricultural,2500000.00,90,In Progress,35.35,15,Partially Possessed,37.65,Not Started,29.21,100.00,0.97,High,18.528233,73.688200
LAP-0014,Bharat National Highway Project 014,National Highway,India,Gujarat,Surat,210.34,Agricultural,2500000.00,353,In Progress,80.36,2,Partially Possessed,91.28,In Progress,82.64,29.40,0.31,Low,20.877378,72.647972
LAP-0015,River Industrial Corridor Project 015,Industrial Corridor,India,Uttar Pradesh,Prayagraj,146.50,Industrial,2500000.00,261,In Progress,52.51,1,Partially Possessed,40.92,In Progress,49.66,68.52,0.65,High,25.375367,81.915864
LAP-0016,Greenfield Industrial Corridor Project 016,Industrial Corridor,India,Karnataka,Bengaluru Urban,96.36,Industrial,2500000.00,185,In Progress,53.89,3,Partially Possessed,50.38,In Progress,48.50,66.73,0.55,High,12.901406,77.393394
LAP-0017,Greenfield Industrial Corridor Project 017,Industrial Corridor,India,Odisha,Kalahandi,215.46,Industrial,2500000.00,374,In Progress,67.77,6,Not Possessed,29.81,In Progress,39.31,81.08,0.64,High,19.900349,83.161830
LAP-0018,Eastern Logistics Park Project 018,Logistics Park,India,Rajasthan,Jaipur,253.18,Industrial,2500000.00,451,In Progress,42.03,6,Partially Possessed,51.66,Not Started,34.42,78.65,0.76,High,26.702293,75.749835
LAP-0019,Coastal Irrigation Canal Project 019,Irrigation Canal,India,Odisha,Kalahandi,478.36,Agricultural,2500000.00,812,In Progress,74.02,3,Partially Possessed,60.13,In Progress,44.24,44.43,0.49,Medium,19.996103,83.444618
LAP-0020,Coastal Metro Rail Project 020,Metro Rail,India,Gujarat,Surat,309.34,Residential,2500000.00,524,In Progress,87.45,2,Partially Possessed,87.98,In Progress,89.40,39.72,0.47,Medium,20.992093,73.058209
LAP-0021,Eastern Industrial Corridor Project 021,Industrial Corridor,India,Uttar Pradesh,Lucknow,30.94,Industrial,2500000.00,54,In Progress,45.32,4,Partially Possessed,44.38,In Progress,65.88,73.39,0.65,High,26.740278,80.783675
LAP-0022,Coastal Metro Rail Project 022,Metro Rail,India,Bihar,Gaya,86.13,Residential,2500000.00,144,In Progress,50.20,3,Partially Possessed,47.15,Not Started,31.52,74.55,0.61,High,25.051319,85.031839
LAP-0023,Coastal National Highway Project 023,National Highway,India,Odisha,Khordha,115.45,Agricultural,2500000.00,194,In Progress,67.67,3,Partially Possessed,59.37,In Progress,49.72,50.04,0.52,Medium,20.426377,85.619340
LAP-0024,National Metro Rail Project 024,Metro Rail,India,Odisha,Sundargarh,177.38,Residential,2500000.00,304,In Progress,84.88,2,Partially Possessed,94.48,In Progress,90.20,28.71,0.39,Low,22.137095,84.067320
LAP-0025,Greenfield Airport Expansion Project 025,Airport Expansion,India,Tamil Nadu,Chengalpattu,43.27,Commercial,2500000.00,90,In Progress,58.08,3,Partially Possessed,47.17,In Progress,46.86,61.43,0.53,High,12.589309,80.010722
LAP-0026,Deccan Metro Rail Project 026,Metro Rail,India,Odisha,Khordha,57.99,Residential,2500000.00,116,Not Started,26.72,6,Not Possessed,16.02,Not Started,33.92,100.00,0.87,High,20.507540,86.158433
LAP-0027,River Irrigation Canal Project 027,Irrigation Canal,India,Maharashtra,Nashik,114.46,Agricultural,2500000.00,220,In Progress,60.53,3,Partially Possessed,75.76,In Progress,58.98,42.27,0.42,Medium,20.003705,74.007439
LAP-0028,Samriddhi Solar Park Project 028,Solar Park,India,Telangana,Warangal,197.47,Agricultural,2500000.00,331,In Progress,62.92,2,Partially Possessed,44.54,In Progress,59.74,42.75,0.35,Medium,17.945544,79.709994
LAP-0029,National Solar Park Project 029,Solar Park,India,Bihar,Gaya,99.27,Agricultural,2500000.00,148,In Progress,81.66,4,Possessed,96.04,In Progress,64.75,34.71,0.40,Medium,24.867296,85.091661
LAP-0030,Coastal Railway Corridor Project 030,Railway Corridor,India,Telangana,Rangareddy,333.03,Residential,2500000.00,590,In Progress,79.66,2,Partially Possessed,81.14,In Progress,82.94,39.47,0.40,Medium,17.435271,78.522087
LAP-0031,River Solar Park Project 031,Solar Park,India,Maharashtra,Nashik,43.22,Agricultural,2500000.00,84,In Progress,65.69,2,Partially Possessed,48.03,In Progress,51.73,48.40,0.27,Medium,19.726436,73.840121
LAP-0032,National Logistics Park Project 032,Logistics Park,India,Gujarat,Kutch,59.95,Industrial,2500000.00,90,In Progress,79.66,1,Partially Possessed,64.06,In Progress,63.27,37.02,0.44,Medium,23.850339,69.943878
LAP-0033,River Logistics Park Project 033,Logistics Park,India,Madhya Pradesh,Indore,99.34,Industrial,2500000.00,181,In Progress,74.51,4,Partially Possessed,87.26,Completed,97.18,45.83,0.60,Medium,22.842468,75.820351
LAP-0034,Deccan Irrigation Canal Project 034,Irrigation Canal,India,Madhya Pradesh,Dhar,300.21,Agricultural,2500000.00,504,In Progress,90.43,0,Partially Possessed,92.04,In Progress,73.59,20.23,0.42,Low,22.536906,75.178615
